Single
3648
Scan 0,   
853, 97.0
854,100.0
855, 96.0
856, 89.0
857, 95.0
858, 93.0
859, 92.0
860, 93.0
861, 97.0
862, 93.0
863, 97.0
864, 88.0
865, 99.0
866, 95.0
867, 98.0
868, 94.0
869, 96.0
870, 92.0
871, 91.0
872, 95.0
873, 96.0
874, 98.0
875, 95.0
876, 94.0
877, 94.0
878, 94.0
879,100.0
880, 96.0
881, 96.0
882, 98.0
883, 95.0
884, 91.0
885, 97.0
886, 95.0
887, 95.0
888, 99.0
889, 98.0
890, 93.0
891, 95.0
892, 98.0
893, 92.0
894, 98.0
895, 95.0
896, 98.0
897, 99.0
898, 97.0
899, 96.0
900, 92.0
901, 97.0
902,102.0
903, 95.0
904, 95.0
905, 99.0
906, 94.0
907, 94.0
908, 96.0
909, 99.0
910, 96.0
911,101.0
912, 95.0
913, 99.0
914, 97.0
915, 96.0
916, 94.0
917, 96.0
918, 94.0
919, 97.0
920, 93.0
921, 94.0
922, 93.0
923, 95.0
924, 98.0
925, 99.0
926, 97.0
927,101.0
928, 96.0
929, 91.0
930, 96.0
931,100.0
932, 95.0
933, 92.0
934, 96.0
935, 93.0
936, 95.0
937, 96.0
938, 98.0
939, 95.0
940, 93.0
941, 92.0
942, 95.0
943, 96.0
944, 97.0
945, 94.0
946, 99.0
947, 98.0
948, 95.0
949, 95.0
950, 95.0
951, 97.0
952, 95.0
953, 98.0
954, 94.0
955, 98.0
956, 98.0
957, 93.0
958, 94.0
959, 95.0
960, 94.0
961, 95.0
962, 97.0
963, 97.0
964, 98.0
965, 92.0
966, 94.0
967, 87.0
968,102.0
969, 95.0
970, 96.0
971, 96.0
972, 97.0
973, 94.0
974,100.0
975, 90.0
976, 98.0
977, 95.0
978, 95.0
979, 93.0
980, 96.0
981, 96.0
982, 93.0
983, 93.0
984, 99.0
985, 98.0
986, 95.0
987,101.0
988, 98.0
989, 92.0
990, 96.0
991, 95.0
992, 96.0
993, 93.0
994, 95.0
995, 95.0
996, 98.0
997, 96.0
998, 94.0
999, 95.0
1000, 96.0
1001, 95.0
1002, 94.0
1003, 91.0
1004, 96.0
1005, 99.0
1006, 97.0
1007, 94.0
1008, 95.0
1009, 98.0
1010, 97.0
1011, 94.0
1012, 94.0
1013, 92.0
1014, 97.0
1015, 97.0
1016, 95.0
1017, 96.0
1018, 93.0
1019, 98.0
1020, 95.0
