Single
3648
Scan 0,   
835, 93.0
836, 95.0
837, 93.0
838, 98.0
839, 91.0
840, 91.0
841, 93.0
842, 96.0
843, 92.0
844, 91.0
845, 92.0
846, 93.0
847, 94.0
848, 89.0
849, 90.0
850, 93.0
851, 94.0
852, 92.0
853, 90.0
854, 90.0
855, 88.0
856, 89.0
857, 91.0
858, 92.0
859, 90.0
860, 91.0
861, 91.0
862, 88.0
863, 96.0
864, 90.0
865, 92.0
866, 91.0
867, 92.0
868, 89.0
869, 92.0
870, 89.0
871, 96.0
872, 92.0
873, 92.0
874, 91.0
875, 94.0
876, 95.0
877, 94.0
878, 88.0
879, 92.0
880, 90.0
881, 91.0
882, 93.0
883, 89.0
884, 92.0
885, 93.0
886, 93.0
887, 93.0
888, 86.0
889, 87.0
890, 89.0
891, 84.0
892, 89.0
893, 87.0
894, 96.0
895, 90.0
896, 90.0
897, 92.0
898, 92.0
899, 92.0
900, 97.0
901, 88.0
902, 94.0
903, 90.0
904, 93.0
905, 96.0
906, 94.0
907, 92.0
908, 97.0
909, 86.0
910, 92.0
911, 90.0
912, 92.0
913, 91.0
914, 89.0
915, 90.0
916, 92.0
917, 89.0
918, 94.0
919, 93.0
920, 92.0
921, 93.0
922, 93.0
923, 93.0
924, 93.0
925, 90.0
926, 91.0
927, 94.0
928, 93.0
929, 91.0
930, 93.0
931, 94.0
932, 94.0
933, 88.0
934, 92.0
935, 90.0
936, 91.0
937, 89.0
938, 91.0
939, 93.0
940, 89.0
941, 89.0
942, 95.0
943, 91.0
944, 90.0
945, 92.0
946, 93.0
947, 92.0
948, 91.0
949, 91.0
950, 97.0
951, 93.0
952, 92.0
953, 95.0
954, 95.0
955, 96.0
956, 92.0
957, 92.0
958, 91.0
959, 97.0
960, 94.0
961, 88.0
962, 88.0
963, 92.0
964, 95.0
965, 94.0
966, 90.0
967, 89.0
968, 99.0
969, 92.0
970, 93.0
971, 91.0
972, 91.0
973, 90.0
974, 95.0
975, 92.0
976, 88.0
977, 95.0
978, 92.0
979, 87.0
980, 90.0
981, 90.0
982, 94.0
983, 89.0
984, 95.0
985, 96.0
986, 91.0
987, 95.0
988, 94.0
989, 92.0
990, 94.0
991, 92.0
992, 93.0
993, 94.0
994, 91.0
995, 89.0
996, 94.0
997, 89.0
998, 92.0
999, 88.0
1000, 89.0
1001, 91.0
1002, 92.0
1003, 87.0
1004, 94.0
1005, 95.0
1006, 94.0
1007, 91.0
1008, 94.0
1009, 91.0
1010, 95.0
1011, 93.0
1012, 90.0
1013, 92.0
1014, 92.0
1015, 90.0
1016, 91.0
1017, 87.0
1018, 93.0
1019, 95.0
1020, 88.0
1021, 87.0
1022, 86.0
1023, 90.0
1024, 91.0
1025, 89.0
1026, 93.0
1027, 90.0
1028, 91.0
1029, 89.0
1030, 92.0
1031, 92.0
1032, 92.0
1033, 92.0
1034, 93.0
1035, 93.0
1036, 93.0
1037, 93.0
1038, 85.0
1039, 88.0
1040, 92.0
1041, 89.0
