Single
3648
Scan 0,   
607, 89.0
608, 89.0
609, 98.0
610, 93.0
611, 92.0
612, 96.0
613, 95.0
614, 98.0
615, 91.0
616, 94.0
617,100.0
618, 93.0
619, 91.0
620, 94.0
621, 93.0
622, 95.0
623, 96.0
624, 95.0
625, 90.0
626, 93.0
627, 97.0
628, 89.0
629, 94.0
630, 93.0
631, 92.0
632, 94.0
633, 91.0
634, 94.0
635, 90.0
636, 99.0
637, 94.0
638, 88.0
639, 93.0
640, 94.0
641, 90.0
642, 90.0
643, 94.0
644,101.0
645, 98.0
646, 97.0
647, 93.0
648, 93.0
649, 93.0
650, 94.0
651, 93.0
652, 93.0
653, 93.0
654, 94.0
655, 94.0
656, 90.0
657, 94.0
658, 97.0
659, 97.0
660, 92.0
661, 99.0
662, 90.0
663, 98.0
664, 93.0
665, 94.0
666, 94.0
667,100.0
668, 96.0
669, 94.0
670, 98.0
671, 91.0
672, 97.0
673, 95.0
674, 94.0
675, 95.0
676, 99.0
677, 95.0
678, 99.0
679, 95.0
680, 93.0
681, 96.0
682, 93.0
683, 92.0
684, 94.0
685, 97.0
686, 93.0
687, 91.0
688, 92.0
689, 92.0
690, 93.0
691, 95.0
692, 90.0
693, 93.0
694, 88.0
695, 96.0
696, 94.0
697, 95.0
698, 95.0
699, 97.0
700, 93.0
701, 97.0
702, 95.0
703, 91.0
704, 97.0
705, 95.0
706, 97.0
707, 91.0
708, 96.0
709, 94.0
710, 91.0
711, 97.0
712, 92.0
713, 97.0
714, 93.0
715, 96.0
716, 95.0
717, 94.0
718, 98.0
719, 95.0
720, 98.0
721, 93.0
722, 95.0
723, 96.0
724, 88.0
725, 94.0
726, 95.0
727, 96.0
728, 94.0
729, 94.0
730, 93.0
731, 90.0
732, 93.0
733, 92.0
734, 92.0
735, 95.0
736, 93.0
737, 97.0
738, 96.0
739, 99.0
740, 95.0
741, 96.0
742, 93.0
743, 96.0
744, 93.0
745, 92.0
746, 91.0
747, 93.0
748, 96.0
749, 90.0
750, 92.0
751, 92.0
752, 94.0
753, 96.0
754, 95.0
755, 95.0
756, 93.0
757, 96.0
758, 93.0
759, 94.0
760, 95.0
761, 95.0
762, 94.0
763, 93.0
764, 98.0
765, 92.0
766, 96.0
767, 93.0
768, 97.0
769, 97.0
770, 95.0
771, 90.0
772, 93.0
773, 93.0
774, 92.0
775, 96.0
776, 94.0
777, 95.0
778, 92.0
779, 93.0
780, 92.0
781, 93.0
782, 91.0
783, 94.0
784, 93.0
785, 92.0
786, 88.0
787, 92.0
788, 95.0
789, 97.0
790, 95.0
791, 90.0
792, 95.0
793, 95.0
794, 95.0
795, 97.0
796, 91.0
797, 96.0
798, 95.0
799, 94.0
800, 96.0
801, 94.0
802, 98.0
803, 95.0
804, 95.0
805, 94.0
806, 92.0
807, 97.0
808, 95.0
809,100.0
810, 96.0
811, 95.0
812, 92.0
813, 95.0
814, 95.0
815, 94.0
816, 96.0
817,100.0
818, 88.0
819, 91.0
820, 99.0
821, 93.0
822, 93.0
823, 97.0
824, 93.0
825, 97.0
826, 94.0
827, 95.0
828, 96.0
829, 94.0
830, 95.0
831, 96.0
832, 89.0
833, 92.0
834, 94.0
835, 92.0
836, 94.0
837, 95.0
838, 97.0
839, 96.0
840, 92.0
841, 95.0
842, 95.0
843, 93.0
844, 95.0
845, 93.0
846, 95.0
847, 90.0
848, 92.0
849, 94.0
850, 96.0
851, 97.0
852, 95.0
853, 95.0
854, 92.0
855, 91.0
856, 92.0
857, 97.0
858, 92.0
859, 95.0
860, 92.0
861, 91.0
862, 94.0
863, 93.0
864, 95.0
865, 96.0
866, 94.0
867, 99.0
868, 96.0
869, 91.0
870, 95.0
871, 93.0
872, 94.0
873, 93.0
874, 91.0
875, 94.0
876, 94.0
877, 95.0
878, 95.0
879, 92.0
880, 93.0
881, 92.0
882, 95.0
883, 89.0
884, 94.0
885, 97.0
886, 91.0
887, 91.0
888, 93.0
889, 94.0
890, 93.0
891, 97.0
892, 97.0
893, 93.0
894, 91.0
895, 95.0
896, 92.0
897, 92.0
898, 92.0
899, 95.0
900, 94.0
901, 97.0
902, 97.0
903, 95.0
904, 93.0
905, 98.0
906, 94.0
907, 98.0
908, 92.0
909, 95.0
910, 96.0
911, 95.0
912, 92.0
913, 97.0
914, 90.0
915, 91.0
916, 94.0
917, 91.0
918, 97.0
919, 94.0
920, 96.0
921, 94.0
922, 94.0
923, 94.0
924, 94.0
925, 93.0
926, 92.0
927, 95.0
928, 92.0
929, 94.0
930, 95.0
931, 92.0
932, 93.0
933, 99.0
934, 91.0
935, 92.0
936, 93.0
937, 97.0
938, 92.0
939, 98.0
940, 95.0
941, 94.0
942, 96.0
943, 92.0
944, 90.0
945, 95.0
946, 94.0
947, 97.0
948, 91.0
949, 89.0
950, 96.0
951, 99.0
952, 95.0
953, 96.0
954, 93.0
955, 91.0
956, 93.0
957, 95.0
958, 97.0
959, 93.0
960, 95.0
961, 98.0
962, 96.0
963, 96.0
964, 95.0
965, 95.0
966, 92.0
967, 93.0
968, 96.0
969, 93.0
970, 96.0
971, 91.0
972, 97.0
973, 95.0
974, 95.0
975, 95.0
976, 97.0
977, 94.0
978, 95.0
979, 95.0
980, 98.0
981, 98.0
982, 95.0
983, 96.0
984, 95.0
985, 95.0
986, 93.0
987, 92.0
988, 92.0
989, 98.0
990, 95.0
