Single
3648
Scan 0,   
601, 79.0
602, 80.0
603, 77.0
604, 81.0
605, 81.0
606, 76.0
607, 76.0
608, 79.0
609, 80.0
610, 78.0
611, 80.0
612, 80.0
613, 75.0
614, 79.0
615, 77.0
616, 83.0
617, 81.0
618, 78.0
619, 78.0
620, 82.0
621, 81.0
622, 80.0
623, 76.0
624, 80.0
625, 78.0
626, 80.0
627, 76.0
628, 80.0
629, 81.0
630, 79.0
631, 78.0
632, 84.0
633, 81.0
634, 78.0
635, 80.0
636, 79.0
637, 78.0
638, 78.0
639, 76.0
640, 81.0
641, 71.0
642, 82.0
643, 81.0
644, 81.0
645, 80.0
646, 80.0
647, 77.0
648, 79.0
649, 81.0
650, 82.0
651, 77.0
652, 81.0
653, 80.0
654, 80.0
655, 79.0
656, 76.0
657, 81.0
658, 82.0
659, 83.0
660, 86.0
661, 81.0
662, 82.0
663, 81.0
664, 79.0
665, 79.0
666, 81.0
667, 78.0
668, 81.0
669, 79.0
670, 78.0
671, 79.0
672, 77.0
673, 82.0
674, 81.0
675, 79.0
676, 80.0
677, 78.0
678, 79.0
679, 81.0
680, 83.0
681, 79.0
682, 81.0
683, 77.0
684, 80.0
685, 81.0
686, 78.0
687, 76.0
688, 76.0
689, 77.0
690, 82.0
691, 80.0
692, 79.0
693, 76.0
694, 79.0
695, 80.0
696, 78.0
697, 77.0
698, 80.0
699, 79.0
700, 78.0
701, 84.0
702, 78.0
703, 73.0
704, 79.0
705, 76.0
706, 77.0
707, 79.0
708, 81.0
709, 79.0
710, 79.0
711, 79.0
712, 78.0
713, 81.0
714, 78.0
715, 81.0
716, 78.0
717, 78.0
718, 78.0
719, 78.0
720, 75.0
721, 75.0
722, 77.0
723, 80.0
724, 76.0
725, 79.0
726, 77.0
727, 75.0
728, 79.0
729, 78.0
730, 81.0
731, 76.0
732, 80.0
733, 84.0
734, 83.0
735, 81.0
736, 77.0
737, 82.0
738, 79.0
739, 78.0
740, 85.0
741, 82.0
742, 76.0
743, 78.0
744, 82.0
745, 79.0
746, 77.0
747, 78.0
748, 79.0
749, 78.0
750, 79.0
751, 81.0
752, 80.0
753, 77.0
754, 76.0
755, 79.0
756, 79.0
757, 81.0
758, 77.0
759, 76.0
760, 77.0
761, 83.0
762, 79.0
763, 80.0
764, 81.0
765, 81.0
766, 76.0
767, 80.0
768, 79.0
769, 76.0
770, 81.0
771, 81.0
772, 79.0
773, 75.0
774, 83.0
775, 80.0
776, 79.0
777, 75.0
778, 81.0
779, 77.0
780, 81.0
781, 76.0
782, 74.0
783, 76.0
784, 81.0
785, 77.0
786, 82.0
787, 75.0
788, 77.0
789, 78.0
790, 82.0
791, 77.0
792, 80.0
793, 76.0
794, 81.0
795, 81.0
796, 77.0
797, 80.0
798, 77.0
799, 79.0
800, 83.0
801, 84.0
802, 81.0
803, 80.0
804, 79.0
805, 81.0
806, 73.0
807, 81.0
808, 78.0
809, 80.0
810, 77.0
811, 82.0
812, 85.0
813, 80.0
814, 81.0
815, 80.0
816, 79.0
817, 80.0
818, 84.0
819, 80.0
820, 76.0
821, 81.0
822, 78.0
823, 76.0
824, 78.0
825, 80.0
826, 74.0
827, 80.0
828, 80.0
829, 76.0
830, 78.0
831, 76.0
832, 79.0
833, 80.0
834, 78.0
835, 80.0
836, 80.0
837, 78.0
838, 79.0
839, 80.0
840, 77.0
841, 83.0
842, 78.0
843, 78.0
844, 78.0
845, 83.0
846, 82.0
847, 80.0
848, 80.0
849, 80.0
850, 83.0
